PROVIDER_ID,HAI_1_DEN_VOL,HAI_2_DEN_VOL,HAI_3_DEN_VOL,HAI_4_DEN_VOL,HAI_5_DEN_VOL,HAI_6_DEN_VOL,HAI_1_DEN_PRED,HAI_2_DEN_PRED,HAI_3_DEN_PRED,HAI_4_DEN_PRED,HAI_5_DEN_PRED,HAI_6_DEN_PRED,HAI_1,HAI_2,HAI_3,HAI_4,HAI_5,HAI_6,READM_30_HOSP_WIDE,READM_30_HIP_KNEE,EDAC_30_HF,READM_30_COPD,EDAC_30_AMI,EDAC_30_PN,MORT_30_STK,MORT_30_PN,MORT_30_HF,MORT_30_COPD,MORT_30_AMI,COMP_HIP_KNEE,READM_30_HOSP_WIDE_DEN,READM_30_HIP_KNEE_DEN,EDAC_30_HF_DEN,READM_30_COPD_DEN,EDAC_30_AMI_DEN,EDAC_30_PN_DEN,MORT_30_STK_DEN,MORT_30_PN_DEN,MORT_30_HF_DEN,MORT_30_COPD_DEN,MORT_30_AMI_DEN,COMP_HIP_KNEE_DEN,OP_2,OP_2_DEN,OP_3B,OP_3B_DEN,OP_8,OP_8_DEN,OP_10,OP_10_DEN,OP_13,OP_13_DEN,OP_18B,OP_18B_DEN,OP_22,OP_22_DEN,OP_23,OP_23_DEN,OP_29,OP_29_DEN,PSI_4_SURG_COMP,PSI_4_SURG_COMP_DEN,PSI_90_SAFETY,IMM_3_DEN,IMM_3,HCP_COVID_19_DEN,HCP_COVID_19,PC_01,PC_01_DEN,SEP_1,SEP_1_DEN,H_RESP_RATE_P,H_COMP_1_STAR_RATING,H_COMP_2_STAR_RATING,H_COMP_3_STAR_RATING,H_COMP_5_STAR_RATING,H_COMP_6_STAR_RATING,H_COMP_7_STAR_RATING,H_GLOB_STAR_RATING,H_INDI_STAR_RATING,H_NUMB_COMP,PSI_90_SAFETY_DEN,MORT_30_CABG,MORT_30_CABG_DEN,READM_30_CABG,READM_30_CABG_DEN,OP_32,OP_32_DEN,OP_35_ADM,OP_35_ADM_DEN,OP_35_ED,OP_35_ED_DEN,OP_36,OP_36_DEN,Facility_ID,Facility_Name,State,ZIP_Code,County_Parish
010021,,,,,,4550.0,,,,,,2.494,,,,,,0.401,0.148,,11.7,0.183,,7.2,,0.177,0.135,0.099,,,112.0,,34.0,31.0,,65.0,,68.0,29.0,27.0,,,,,,,,,0.0409999999999999,,0.02,,130.0,311.0,0.02,16031.0,,,0.52,21.0,,,1.13,513.0,0.57,378.0,0.0,,,0.53,49.0,22.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,117.0,107.7483,,,,,12.4,126.0,,,,,,,010021,DALE MEDICAL CENTER,AL,36360,DALE
010022,,,,,,5116.0,,,,,,1.509,,,,,,0.0,0.147,,,,,-12.0,,,,,,,64.0,,,,,27.0,,,,,,,,,,,,,0.034,,,,129.0,392.0,0.04,8600.0,,,,,,,,255.0,0.62,472.0,0.032,,,,,,,,,,,,,,,,,,,,12.9,42.0,,,,,,,010022,FLOYD CHEROKEE MEDICAL CENTER,AL,35960,CHEROKEE
010023,16142.0,18188.0,157.0,,93613.0,87115.0,18.505,34.54,5.083,,8.203,37.83,1.243,0.984,0.984,,1.463,0.397,0.157,0.048,27.6,0.182,9.8,51.5,0.1689999999999999,0.203,0.114,0.109,0.136,0.038,1688.0,95.0,304.0,70.0,194.0,146.0,273.0,151.0,263.0,68.0,186.0,91.0,,,,,,,0.015,,,,193.0,399.0,0.04,51139.0,,,0.96,99.0,192.83,113.0,1.82,4436.0,0.93,2731.0,0.026,0.01,86.0,0.31,127.0,27.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,2440.0,1601.4333,0.027,53.0,0.12,51.0,15.0,147.0,7.7,463.0,5.1,463.0,1.1,384.0,010023,BAPTIST MEDICAL CENTER SOUTH,AL,36116,MONTGOMERY
010024,8441.0,12313.0,155.0,,72056.0,70117.0,9.065,15.353,4.518,,6.64,47.541,1.655,0.847,0.885,,1.958,0.715,0.154,,10.8,0.179,28.2,32.4,0.142,0.196,0.135,0.094,0.115,,1774.0,,325.0,79.0,146.0,233.0,134.0,238.0,285.0,68.0,147.0,,,,,,,,0.079,,0.0409999999999999,,172.0,1518.0,0.03,53088.0,0.62,16.0,0.86,37.0,200.02,71.0,1.0,2603.0,0.46,2990.0,0.036,0.02,83.0,0.71,331.0,16.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,780.0,1330.0559999999998,0.035,98.0,0.099,91.0,13.5,244.0,8.9,112.0,4.7,112.0,0.8,619.0,010024,JACKSON HOSPITAL & CLINIC INC,AL,36106,MONTGOMERY
010029,7450.0,7308.0,193.0,415.0,83004.0,76601.0,7.751,9.058,5.15,3.352,5.987,51.991,1.161,0.994,0.777,1.79,0.167,0.808,0.138,0.044,52.1,0.176,46.2,3.1,0.135,0.198,0.165,0.098,0.143,0.044,1655.0,467.0,334.0,134.0,117.0,215.0,147.0,230.0,298.0,132.0,134.0,414.0,,,,,0.5,,0.154,,0.024,,188.0,594.0,0.04,60196.0,,,0.95,145.0,196.14,61.0,0.99,4870.0,0.84,3693.0,0.006,0.0,173.0,0.68,363.0,19.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,655.0,1799.109,0.0279999999999999,92.0,0.1159999999999999,90.0,12.5,1290.0,9.4,125.0,4.9,125.0,0.6,586.0,010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,AL,36801,LEE
010033,45286.0,49749.0,1018.0,606.0,388362.0,343487.0,54.371,91.882,32.468,5.954,40.922,277.386,0.901,0.555,0.616,1.512,0.929,0.357,0.16,0.05,8.7,0.182,13.9,39.9,0.152,0.152,0.098,0.098,0.14,0.036,5311.0,35.0,675.0,154.0,289.0,365.0,400.0,347.0,560.0,143.0,179.0,33.0,,,,,0.457,,0.165,,0.036,,192.0,2072.0,0.03,139693.0,,,0.99,203.0,207.32,461.0,1.24,13683.0,0.94,14315.0,0.053,0.04,47.0,0.4,275.0,16.0,4.0,4.0,3.0,4.0,4.0,4.0,4.5,2.5,6169.0,6887.8451000000005,0.027,366.0,0.1159999999999999,353.0,12.7,1582.0,9.5,776.0,4.7,776.0,0.8,1314.0,010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,35233,JEFFERSON
010034,,,,,,,,,,,,,,,,,,,0.156,,,,,,,,,,,,82.0,,,,,,,,,,,,,,,,,,,,,,103.0,396.0,0.02,7111.0,,,,,,,,205.0,0.59,205.0,0.01,,,0.45,11.0,,,,,,,,,,,,,,,,12.8,236.0,,,,,,,010034,COMMUNITY HOSPITAL INC,AL,36078,ELMORE
010035,2197.0,8107.0,69.0,,37485.0,36227.0,1.536,5.679,1.855,,1.564,15.333,0.0,0.88,1.078,,0.0,0.391,0.165,0.045,-13.3,0.1939999999999999,,-9.0,0.151,0.217,0.134,0.094,0.121,0.037,1828.0,42.0,367.0,120.0,,417.0,129.0,386.0,309.0,104.0,65.0,37.0,,,,,,,0.073,,0.023,,148.0,380.0,0.02,44627.0,0.87,31.0,0.99,88.0,179.08,25.0,0.94,1738.0,0.76,1725.0,0.1119999999999999,0.0,54.0,0.97,136.0,18.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,3.0,413.0,913.1602,,,,,13.0,401.0,,,,,0.9,319.0,010035,CULLMAN REGIONAL MEDICAL CENTER,AL,35058,CULLMAN
010036,,,,,,8439.0,,,,,,2.763,,,,,,0.362,0.142,0.053,32.4,0.179,,-2.9,0.133,0.228,0.127,0.096,,0.032,507.0,44.0,159.0,60.0,,144.0,43.0,146.0,137.0,51.0,,41.0,,,,,,,0.066,,,,151.0,414.0,0.02,18039.0,,,0.38,121.0,,,0.93,589.0,0.84,549.0,0.784,0.05,43.0,0.52,82.0,17.0,3.0,4.0,3.0,3.0,2.0,2.0,2.5,4.0,291.0,258.76370000000003,,,,,15.5,334.0,,,,,0.9,188.0,010036,ANDALUSIA HEALTH,AL,36420,COVINGTON
010039,27305.0,33036.0,600.0,945.0,289329.0,254006.0,30.247,49.345,16.932,8.392,25.104,222.038,0.86,0.648,0.827,0.238,1.195,0.766,0.147,0.0579999999999999,10.4,0.185,1.2,15.5,0.14,0.223,0.145,0.103,0.162,0.0279999999999999,7629.0,168.0,1270.0,426.0,624.0,1340.0,914.0,1343.0,1118.0,390.0,591.0,158.0,,,,,0.357,,0.176,,0.037,,236.0,375.0,0.02,158285.0,0.56,16.0,0.92,76.0,222.48,304.0,1.71,13595.0,0.73,10177.0,0.075,0.04,128.0,0.64,430.0,18.0,3.0,4.0,3.0,3.0,3.0,3.0,3.5,3.5,1199.0,6342.714100000001,0.02,272.0,0.092,267.0,13.0,2202.0,9.0,85.0,4.6,85.0,0.7,1914.0,010039,HUNTSVILLE HOSPITAL,AL,35801,MADISON
010040,4909.0,9613.0,90.0,,45884.0,45134.0,3.678,7.772,2.486,,3.295,19.01,1.359,0.515,0.402,,1.214,0.21,0.152,0.046,15.9,0.183,18.1,9.8,0.125,0.235,0.12,0.098,0.12,0.039,1051.0,60.0,235.0,97.0,132.0,235.0,125.0,233.0,204.0,83.0,125.0,57.0,,,,,0.408,,0.078,,,,183.0,395.0,0.03,29061.0,,,0.7,43.0,192.8,44.0,1.94,1597.0,0.25,1403.0,0.225,0.03,37.0,0.42,179.0,18.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,674.0,989.1081,0.026,56.0,0.115,56.0,14.6,313.0,,,,,0.9,421.0,010040,GADSDEN REGIONAL MEDICAL CENTER,AL,35903,ETOWAH
010044,,,,,,,,,,,,,,,,,,,0.14,,-32.4,,,-26.4,,0.1939999999999999,0.114,,,,77.0,,35.0,,,58.0,,57.0,32.0,,,,,,,,,,0.06,,,,97.0,419.0,0.02,7358.0,,,0.61,33.0,,,,150.0,0.7,173.0,0.0,,,0.91,23.0,,,,,,,,,,,,,,,,13.2,63.0,,,,,,,010044,MARION REGIONAL MEDICAL CENTER,AL,35570,MARION
010045,,,,,,2916.0,,,,,,1.248,,,,,,1.603,0.152,,-2.4,0.1939999999999999,,-12.2,,0.175,0.114,0.104,,,141.0,,55.0,31.0,,66.0,,71.0,53.0,30.0,,,,,,,,,0.024,,,,126.0,346.0,0.05,10266.0,,,1.0,12.0,,,0.98,473.0,0.84,415.0,0.012,,,0.69,55.0,36.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,150.0,81.4411,,,,,13.9,96.0,,,,,,,010045,FAYETTE MEDICAL CENTER,AL,35555,FAYETTE
010046,3820.0,8098.0,,,34685.0,34685.0,2.698,5.895,,,1.834,20.882,0.741,0.339,,,2.181,0.192,0.148,,15.8,0.1939999999999999,5.4,22.8,0.147,0.185,0.12,0.091,0.123,,1130.0,,284.0,103.0,60.0,277.0,68.0,265.0,230.0,90.0,66.0,,,,,,,,0.025,,,,145.0,419.0,0.03,24021.0,,,0.81,32.0,179.06,29.0,0.76,1377.0,0.73,1211.0,0.001,,,0.62,106.0,35.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,405.0,745.9812,,,,,12.4,173.0,,,,,1.0,186.0,010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,35901,ETOWAH
010049,,2171.0,,,,13664.0,,1.199,,,,4.486,,0.0,,,,0.223,0.143,0.04,-0.7,0.193,,4.2,0.1639999999999999,0.2189999999999999,0.121,0.111,,0.03,518.0,119.0,102.0,59.0,,152.0,34.0,158.0,83.0,56.0,,108.0,,,,,,,0.068,,0.0,,123.0,404.0,0.01,31990.0,,,0.99,78.0,,,0.89,645.0,0.56,644.0,0.0,0.08,39.0,0.58,149.0,17.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,3.5,414.0,436.6331,,,,,13.1,530.0,,,,,0.8,94.0,010049,MEDICAL CENTER ENTERPRISE,AL,36330,COFFEE
010051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.0,236.0,0.01,191.0,,,,,,,,82.0,0.99,28.0,0.048,,,,,,,,,,,,,,,,,,,,,,,,,,,,010051,GREENE COUNTY HOSPITAL,AL,35462,GREENE
010052,,,,,,,,,,,,,,,,,,,0.154,,,,,-13.5,,0.23,,,,,75.0,,,,,25.0,,28.0,,,,,,,,,,,,,,,106.0,350.0,0.01,5254.0,,,1.0,30.0,,,,98.0,0.13,97.0,0.0,,,,,24.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.5,121.0,,,,,,,,,,,,,,010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,36853,TALLAPOOSA
010055,4892.0,12773.0,44.0,338.0,56199.0,56189.0,4.435,13.871,1.245,3.039,3.39,24.037,0.225,0.144,0.0,0.0,0.295,0.042,0.148,0.0559999999999999,21.9,0.176,15.2,-5.3,0.148,0.2,0.154,0.138,0.154,0.042,2034.0,106.0,325.0,125.0,263.0,305.0,165.0,291.0,302.0,124.0,268.0,99.0,,,,,0.405,,0.043,,0.0289999999999999,,212.0,410.0,0.02,41254.0,,,0.54,70.0,153.16,71.0,0.72,2277.0,0.83,1870.0,0.321,0.16,43.0,0.53,140.0,20.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.5,1054.0,1711.2215,0.062,89.0,0.125,84.0,13.5,360.0,,,,,1.3,694.0,010055,FLOWERS HOSPITAL,AL,36305,HOUSTON
010056,12607.0,15303.0,361.0,308.0,104330.0,97667.0,13.627,19.605,9.299,2.596,9.62,52.151,0.807,0.459,0.753,1.541,0.416,0.518,0.153,0.042,12.4,0.181,2.3,14.7,0.14,0.145,0.105,0.088,0.133,0.049,2744.0,138.0,439.0,82.0,150.0,405.0,206.0,382.0,375.0,82.0,136.0,132.0,,,,,0.385,,0.105,,0.027,,237.0,331.0,0.07,37677.0,0.68,22.0,0.92,62.0,138.09,113.0,0.97,,,3188.0,0.0,0.01,76.0,0.55,216.0,30.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,1796.0,2185.5639,0.044,104.0,0.12,96.0,11.5,1625.0,,,,,0.5,1275.0,010056,ST VINCENT'S BIRMINGHAM,AL,35205,JEFFERSON
010058,,,,,,,,,,,,,,,,,,,0.142,,,,,-27.0,,0.198,,,,,57.0,,,,,29.0,,30.0,,,,,,,,,,,0.016,,,,128.0,452.0,0.04,17464.0,,,,,,,0.99,290.0,0.7,235.0,0.013,0.0,25.0,0.88,25.0,,,,,,,,,,,27.4745,,,,,,,,,,,,,010058,BIBB MEDICAL CENTER,AL,35042,BIBB
010059,,,,,,,,,,,,,,,,,,,0.15,,,,,4.9,,0.181,,,,,61.0,,,,,39.0,,36.0,,,,,,,,,,,0.083,,,,74.0,379.0,0.01,6272.0,,,,,,,,212.0,0.93,268.0,0.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,010059,LAWRENCE MEDICAL CENTER,AL,35650,LAWRENCE
010061,,1950.0,,,,8507.0,,1.065,,,,4.044,,0.0,,,,0.989,0.141,,-11.7,0.185,,15.1,0.142,0.193,0.13,0.0969999999999999,,,371.0,,68.0,41.0,,115.0,29.0,110.0,63.0,37.0,,,,,,,,,0.11,,,,190.0,651.0,0.02,17043.0,0.44,18.0,0.96,49.0,,,0.95,866.0,0.81,829.0,0.001,0.2,25.0,0.44,131.0,14.0,4.0,4.0,4.0,3.0,2.0,3.0,2.5,4.0,158.0,252.4011,,,,,12.2,266.0,,,,,1.5,101.0,010061,HIGHLANDS MEDICAL CENTER,AL,35768,JACKSON
010062,,,,,,4450.0,,,,,,1.409,,,,,,0.0,0.144,,,,,-10.0,,0.198,,,,,50.0,,,,,25.0,,27.0,,,,,,,,,,,0.036,,,,110.0,409.0,0.05,8977.0,,,0.43,112.0,,,0.97,347.0,0.71,213.0,0.032,,,,,,,,,,,,,,,58.385200000000005,,,,,14.1,132.0,,,,,,,010062,WIREGRASS MEDICAL CENTER,AL,36340,GENEVA
010065,,2473.0,,,,4768.0,,1.447,,,,1.867,,0.0,,,,1.607,0.141,0.039,-36.2,0.186,,4.5,,0.225,0.122,0.103,0.136,0.033,334.0,36.0,94.0,38.0,,87.0,,76.0,80.0,34.0,28.0,32.0,,,,,,,0.078,,,,146.0,636.0,0.01,18655.0,0.82,17.0,1.0,63.0,,,1.09,1028.0,0.47,738.0,0.083,0.0,30.0,0.59,183.0,26.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,3.5,301.0,160.9317,,,,,12.5,389.0,9.0,77.0,6.6,77.0,1.1,195.0,010065,RUSSELL MEDICAL CENTER,AL,35010,TALLAPOOSA
010069,,,,,,3347.0,,,,,,1.367,,,,,,0.0,0.16,,25.5,,,-18.1,,0.19,0.125,,,,115.0,,39.0,,,40.0,,36.0,30.0,,,,,,,,,,0.076,,,,182.0,238.0,0.02,15490.0,,,0.43,111.0,,,1.01,246.0,0.42,233.0,0.016,,,,,26.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,179.0,75.38579999999999,,,,,13.0,32.0,,,,,,,010069,MEDICAL CENTER BARBOUR,AL,36027,BARBOUR
010073,,,,,,,,,,,,,,,,,,,0.141,,,,,-1.0,,0.212,,,,,84.0,,,,,31.0,,38.0,,,,,,,,,,,0.013,,,,88.0,359.0,0.01,4487.0,,,0.93,44.0,,,,280.0,0.55,198.0,0.166,,,0.42,24.0,,,,,,,,,,,,,,,,13.2,81.0,,,,,,,010073,CLAY COUNTY HOSPITAL,AL,36251,CLAY
010078,3945.0,6541.0,113.0,,63929.0,59952.0,2.703,4.315,3.235,,3.036,37.605,1.85,1.622,0.618,,1.976,1.117,0.153,0.057,5.6,0.157,33.7,25.4,0.141,0.198,0.122,0.067,0.125,0.04,1908.0,177.0,311.0,190.0,196.0,270.0,110.0,277.0,287.0,158.0,212.0,147.0,,,,,0.373,,0.083,,0.026,,206.0,382.0,0.05,53867.0,0.56,16.0,0.93,206.0,246.4,77.0,1.2,2784.0,0.69,2947.0,0.01,0.03,184.0,0.52,660.0,16.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.5,1255.0,1574.3139,,,,,14.3,1009.0,9.3,77.0,4.9,77.0,1.1,408.0,010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,36207,CALHOUN
010079,,4033.0,57.0,,17192.0,16236.0,,2.136,1.593,,1.245,6.105,,0.468,0.628,,0.0,0.328,0.148,0.048,-26.8,0.188,,43.7,0.215,0.196,0.102,0.084,,0.033,796.0,170.0,151.0,105.0,,179.0,46.0,168.0,116.0,94.0,,152.0,,,,,0.429,,0.077,,0.021,,185.0,362.0,0.01,27965.0,0.56,18.0,0.88,64.0,,,1.0,1396.0,0.68,1382.0,0.038,0.0,76.0,0.58,125.0,17.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,359.0,560.8022,,,,,15.2,390.0,,,,,1.7,433.0,010079,ATHENS LIMESTONE HOSPITAL,AL,35611,LIMESTONE
